Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
value...63	0	0.17003191953452	0	0.042253188538088	0	0.138991734266495	0	0.0083054458157325	0	0	0.098008917887191	0	0.0439234589526971	0	0	0.0161627521545239	0	0.148140549801174	0	0.128229425092649	0.102727782343275	0	0	0.113376345597608	1.04015386683409	0.896775174386346
value...64	0.06304473143188	0.0988097527924302	0.0453997979256775	0.617400222185216	0	0.341083511082319	0.10049233146427	0	0	0	0.216661476440901	0.0191379679950738	0.102370359876158	0	0	0.0205809176229093	0	0.19282737218119	0	0.127451518762354	0.179418213841677	0	0	0.565864425261067	0.823919995361447	2.12467817360206
value...65	0	0.137160047917944	0.00675646708451368	0.1443824736116	0	0.229615907821858	0	0	0	0	0.0818322111468	0	0.0488784706606027	0	0.00709862028875726	0.0149217818666548	0	0.101576516699411	0	0.103700291781734	0.153389534946572	0	0	0.260790047887586	0.983566122218732	1.02931232382645
value...66	0	0.218303178403172	9.80510616743384e-05	0.168300838153704	0	0.120575571974131	0.00889908590484371	0.0203388299193312	0	0	0.140853500651074	0	0.0409488711198718	0	0	0.0575116128992206	0	0.276583294642603	0	0.135384136132343	0.157849763152448	0	0	0.359841239817633	0.933724825046189	1.34564673401442
value...67	0	0.314667873966665	0.0324729737473027	0.207738874482803	0	0.211897698933385	0	0	0	0	0.144939428954036	0	0.0437582201781504	0	0	0.0212435132111424	0	0.289102914703651	0	0.0795893974376942	0.182183823649132	0	0	0.465707004053328	0.883239634653503	1.52759471926396
value...68	0	0.43699672549679	0.0368710315787171	0.39106232617005	0	0.132576614288169	0	0	0.00648271200658049	0	0.301229307017163	0	0.129067195682003	0	0	0.169983925205083	0	0.308037951788979	0	0.198582684943202	0.253917178790621	0	0	0.551154626261421	0.840446449746174	2.36480765296736
value...69	0	0.252205170140674	0	0.378616819467483	0	0.252864273180032	0.069791178731792	0	0	0	0.478976219791892	0	0.11369450077195	0	0	0.0501257432367186	0.0563913030390649	0.151823007867234	0	0.173188249485654	0.204347992533787	0	0	0.590372276311874	0.809192636504524	2.18202445824628
value...70	0	0.251292995208258	0.0187066579964682	0.236756988860179	0	0.286379208913214	0	0	0	0	0.26032581284507	0	0.0813726998627206	0	0	0.0908781276446233	0	0.240063930990987	0	0.175528598607326	0.18505776045513	0	0	0.509126954815993	0.860803943958408	1.82636278138398
value...71	0.0423162901149189	0.015637613826259	0.0564154490893548	0.114543706933136	0	0.170076744885293	0.0584088643357718	0	0	0	0.0635273669526348	0	0.0501657096972493	0	0	0.0210975792621887	0.0214640928800416	0.204516848455079	0.0656794204730985	0.0586707413793814	0.0964061353298395	0	0	0.168986363388229	1.01014760865182	1.03892656361425
value...72	0	0.183986383052753	0	0.293551128203781	0	0.138416360189085	0	0	0	0	0.164621545429938	0	0.0897517652178234	0	0	0.0304409189181709	0	0.101400295089695	0	0.149077139271868	0.103784532379763	0	0	0.341070094220382	0.949844479421315	1.25503006775288
value...73	0	0.16300551306802	0	0.174899755344653	0	0.236761766040532	0.0226808991734311	0	0	0	0.192437869077122	0	0.0704201679602285	0	0	0.0341142018992042	0	0.109858431648105	0	0.103601833919812	0.165979655369296	0	0	0.354736938519057	0.941053876488738	1.2737600935004
value...74	0	0.250152068418218	0	0.100177069749881	0	0.274781694308633	0	0	0	0	0	0.0109508325910594	0.0522194265616921	0	0	0.0628859778019491	0	0.245878979496455	0	0.0612021798532138	0.193461837292835	0	0	0.361729009702185	0.933061217363153	1.25171006607394
value...75	0.0450761642942194	0	0	0.297048405545355	0	0.189022364075496	0	0	0.0115970643345632	0	0.44719126749037	0	0.0748080299007102	0	0	0.0839230484355672	0.0845463048050003	0.123736315751043	0	0.307623798625739	0.202454767057726	0	0	0.533098884293216	0.844738982717913	1.86702753031579
value...76	0	0.186372783129826	0	0.14181197729877	0	0.134344252524866	0	0	0	0	0.192021307336995	0	0.0646915813883772	0	0	0.0288223750903201	0	0.12788464388538	0	0.0868199911718741	0.136410911334175	0	0	0.295865117499665	0.968777417507339	1.09917982316058
value...77	0	0.208941151059305	0.00848186597575026	0.161222456330369	0	0.147129126840846	0	0	0	0	0.0946749191070537	0	0.0603252948062682	0	0	0.0276973040516073	0	0.19162689615191	0	0.117077719319088	0.122549347495843	0	0	0.256999514869573	0.980639712267495	1.13972608113804
value...78	0	0.120890537300853	0.0211233053056269	0.188266882983002	0	0.204926636215812	0	0	0	0	0.23369895550108	0	0.0642460038875367	0	0	0.0258200061078156	0	0.161049993656308	0	0.137060589020038	0.141629156255706	0	0	0.363204505218252	0.938144542922685	1.29871206623378
value...79	0	0.111975205072428	0.0238656384584803	0.152443038943358	0	0.174640323413102	0.0208291319191288	0	0	0	0.221771615049103	0	0.0530322281625103	0	0.00834123297244052	0	0	0.098911461018263	0	0.0927868917329115	0.144071215446476	0	0	0.310087174796353	0.968677727525434	1.1026679821882
value...80	0	0.270977487600886	0.00836922156698244	0.0416148344211919	0	0.114175140561535	0.0142361059657424	0	0	0	0.10593459686926	0	0.07053596059643	0	0	0.000752544953207631	0.152372764008286	0.289592012137415	0.015272017552718	0.0417677636561942	0.175160570664811	0	0	0.384603605367596	0.921529592688853	1.30076102055466
value...81	0.148052969754453	0.0599193286307295	0	0.509763181104348	0	0.244141917338401	0.0902512731839372	0	0	0	0.380790964757715	0	0.131541316538542	0	0	0.0844735702737638	0	0.173072048958272	0	0.180728799778402	0.224020189582263	0	0	0.625105511870398	0.787757075842777	2.22675555990083
value...82	0	0.205959836388831	0.0792810611006134	0.48177615436427	0	0.137252704343194	0.151427581366554	0	0	0	0.167595533745695	0	0.0489697630896659	0	0	0.00500614116016123	0.0259297172514257	0.178975091484732	0	0.0885287627249384	0.183258630474059	0	0	0.568274128187999	0.825005257195061	1.75396097749414
value...83	0	0.289318108319915	0	0.234560561206165	0	0.184574141606109	0	0	0	0	0.234353681320898	0	0.122617170600724	0	0	0.208126302328842	0.0101242476133391	0.262194317400178	0	0.182799513792289	0.233896392107929	0	0	0.473321063902838	0.880957677969424	1.96256443629639
